apid,iso,acloperid,sku,psku,use_psku,name,operator_id,data_amount,topup_price,topup_currency,price,step,fx_rate,currency,active,country
MFIN,NG,1,D-MFIN-1-10MB,,0,Airtel,1,10,49.99,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-50MB,,0,Airtel,1,50,99,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-200MB,,0,Airtel,1,200,199.03,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-350MB,,0,Airtel,1,350,299.02,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-750MB,,0,Airtel,1,750,499,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-1.5GB,,0,Airtel,1,1300,999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-3.5GB,,0,Airtel,1,3500,1999.01,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-5GB,,0,Airtel,1,5000,2499.01,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-7GB,,0,Airtel,1,7000,3499,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-9GB,,0,Airtel,1,9000,3999.01,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-10GB,,0,Airtel,1,10000,4999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-16GB,,0,Airtel,1,16000,7999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-22GB,,0,Airtel,1,22000,9999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-30GB,,0,Airtel,1,30000,14999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-50GB,,0,Airtel,1,50000,35999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-100GB,,0,Airtel,1,100000,69999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,1,D-MFIN-1-200GB,,0,Airtel,1,200000,135999,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-150MB,,0,9mobile,2,150,200,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-1GB,,0,9mobile,2,1000,1000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-1.5GB,,0,9mobile,2,1500,1200,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-2.5GB,,0,9mobile,2,2500,2000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-4GB,,0,9mobile,2,4000,3000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-11.5GB,,0,9mobile,2,11500,8000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-15GB,,0,9mobile,2,15000,10000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-27.5GB,,0,9mobile,2,27500,18000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-30GB,,0,9mobile,2,30000,27500,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-60GB,,0,9mobile,2,60000,55000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-100GB,,0,9mobile,2,100000,84992,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,2,D-MFIN-2-120GB,,0,9mobile,2,120000,110000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-50MB,,0,MTN,5,50,100,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-150MB,,0,MTN,5,150,200,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-750MB,,0,MTN,5,750,500,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-1.5GB,,0,MTN,5,1500,1000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-3.5GB,,0,MTN,5,3500,2000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-5GB,,0,MTN,5,5000,3500,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-10GB,,0,MTN,5,10000,5000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-22GB,,0,MTN,5,22000,10000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-50GB,,0,MTN,5,50000,20000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,5,D-MFIN-5-85GB,,0,MTN,5,85000,50000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-35MB,DATA-21,1,Globacom,6,35,100,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-100MB,DATA-28,1,Globacom,6,100,200,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-800MB,DATA-27,1,Globacom,6,800,500,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-1.6GB,DATA-2,1,Globacom,6,1600,1000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-3.75GB,DATA-25,1,Globacom,6,3750,2000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-5GB,DATA-19,1,Globacom,6,5000,2500,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-6GB,DATA-23,1,Globacom,6,6000,3000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-8GB,DATA-12,1,Globacom,6,8000,4000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-12GB,DATA-5,1,Globacom,6,12000,5000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-16GB,DATA-4,1,Globacom,6,16000,8000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-23GB,DATA-10,1,Globacom,6,23000,10000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-30GB,DATA-11,1,Globacom,6,30000,15000,NGN,-,-,300,USD,TRUE,Nigeria
MFIN,NG,6,D-MFIN-6-45GB,DATA-20,1,Globacom,6,45000,18000,NGN,-,-,300,USD,TRUE,Nigeria