93,AF,,,,11,,,,11
355,AL,,,,10,,,,15
213,DZ,,,,10,,,,15
1684,AS,,,,10,,,,15
376,AD,,,,10,,,,15
244,AO,,,,10,,,,15
1264,AI,,,,10,,,,15
1268,AG,,,,10,,,,15
54,AR,,,,10,,,,15
374,AM,,,,10,,,,15
297,AW,,,,10,,,,15
61,AU,,,,10,,,,15
43,AT,,,,10,,,,15
994,AZ,,,,10,,,,15
1242,BS,,,,10,,,,15
973,BH,,,,10,,,,15
880,BD,,,,13,,,,13
1246,BB,,,,10,,,,15
375,BY,,,,10,,,,15
32,BE,,,,10,,,,15
501,BZ,,,,10,,,,15
229,BJ,,,,11,,,,11
1441,BM,,,,10,,,,15
975,BT,,,,10,,,,15
591,BO,,,,10,,,,15
387,BA,,,,10,,,,15
267,BW,,,,10,,,,15
55,BR,,,,12,,,,12
246,IO,,,,10,,,,15
673,BN,,,,10,,,,15
359,BG,,,,10,,,,15
226,BF,,,,10,,,,15
257,BI,,,,10,,,,15
855,KH,,,,10,,,,15
237,CM,,,,11,,,,11
1,CA,,,,10,,,,15
238,CV,,,,10,,,,15
1345,KY,,,,11,,,,11
236,CF,,,,10,,,,15
235,,TD,,,10,,,,15
56,,CL,,,10,,,,15
86,,CN,,,10,,,,15
61,,CX,,,10,,,,15
61891,,CC,,,10,,,,15
57,,CO,,,12,,,,12
269,,KM,,,10,,,,15
242,,CG,,,11,,,,12
243,,CD,,,10,,,,15
682,,CK,,,10,,,,15
506,,CR,,,10,,,,15
385,,HR,,,10,,,,15
53,,CU,,,10,,,,10
357,,CY,,,11,,,,11
420,,CZ,,,10,,,,15
45,,DK,,,10,,,,15
253,,DJ,,,10,,,,15
1767,,DM,,,10,,,,15
1809,,DO,,,11,,,,11
593,,EC,,,10,,,,15
20,,EG,,,12,,,,12
503,,SV,,,11,,,,11
240,,GQ,,,10,,,,15
291,,ER,,,10,,,,15
372,,EE,,,10,,,,15
251,,ET,,,10,,,,15
500,,FK,,,10,,,,15
298,,FO,,,10,,,,15
679,,FJ,,,10,,,,15
358,,FI,,,10,,,,15
33,,FR,,,10,,,,15
594,,GF,,,10,,,,15
241,,GA,,,10,,,,15
220,,GM,,,10,,,,10
995,,GE,,,10,,,,15
49,,DE,,,10,,,,15
233,,GH,,,12,,,,12
350,,GI,,,10,,,,15
30,,GR,,,10,,,,15
299,,GL,,,10,,,,15
1473,,GD,,,11,,,,11
590,,GP,,,10,,,,15
1671,,GU,,,10,,,,15
502,,GT,,,10,,,,15
224,,GN,,,12,,,,12
245,,GW,,,10,,,,15
592,,GY,,,10,,,,15
509,,HT,,,11,,,,11
504,,HN,,,11,,,,11
852,,HK,,,10,,,,15
36,,HU,,,10,,,,15
354,,IS,,,10,,,,15
91,,IN,,,12,,,,12
62,,ID,,,12,,,,13
98,,IR,,,10,,,,15
964,,IQ,,,10,,,,15
353,,IE,,,10,,,,15
44,,IM,,,10,,,,15
972,,IL,,,10,,,,15
39,,IT,,,12,,,,12
225,,CI,,,11,,,,11
1876,,JM,,,11,,,,11
81,,JP,,,10,,,,15
44,,JE,,,10,,,,15
962,,JO,,,10,,,,15
76,,KZ,,,10,,,,15
254,,KE,,,12,,,,12
686,,KI,,,10,,,,15
850,,KP,,,10,,,,15
82,,KR,,,10,,,,15
965,,KW,,,10,,,,15
996,,KG,,,10,,,,15
856,,LA,,,10,,,,15
371,,LV,,,10,,,,15
961,,LB,,,10,,,,15
266,,LS,,,10,,,,15
231,,LR,,,12,,,,12
218,,LY,,,10,,,,15
423,,LI,,,10,,,,15
370,,LT,,,10,,,,15
352,,LU,,,10,,,,15
853,,MO,,,10,,,,15
389,,MK,,,10,,,,15
261,,MG,,,12,,,,12
265,,MW,,,10,,,,15
60,,MY,,,11,,,,11
960,,MV,,,10,,,,15
223,,ML,,,10,,,,15
356,,MT,,,10,,,,15
692,,MH,,,10,,,,15
596,,MQ,,,10,,,,15
222,,MR,,,10,,,,15
230,,MU,,,10,,,,15
262,,YT,,,10,,,,15
52,,MX,,,12,,,,12
691,,FM,,,10,,,,15
373,,MD,,,10,,,,15
377,,MC,,,10,,,,15
976,,MN,,,10,,,,15
382,,ME,,,10,,,,15
1664,,MS,,,10,,,,15
212,,MA,,,12,,,,12
258,,MZ,,,10,,,,15
95,,MM,,,10,,,,15
264,,NA,,,10,,,,15
674,,NR,,,10,,,,15
977,,NP,,,13,,,,13
31,,NL,,,10,,,,15
599,,AN,,,10,,,,15
687,,NC,,,10,,,,15
64,,NZ,,,10,,,,15
505,,NI,,,10,,,,15
227,,NE,,,10,,,,15
234,,NG,,,13,,,,13
683,,NU,,,10,,,,15
672,,NF,,,10,,,,15
1670,,MP,,,10,,,,15
47,,NO,,,10,,,,15
968,,OM,,,10,,,,15
92,,PK,,,12,,,,12
680,,PW,,,10,,,,15
507,,PA,,,10,,,,15
675,,PG,,,10,,,,15
595,,PY,,,10,,,,15
51,,PE,,,10,,,,15
63,,PH,,,12,,,,12
64,,PN,,,10,,,,15
48,,PL,,,11,,,,11
689,,PF,,,10,,,,15
351,,PT,,,10,,,,15
1787,,PR,,,10,,,,15
974,,QA,,,10,,,,15
40,,RO,,,11,,,,11
7,,RU,,,10,,,,15
250,,RW,,,12,,,,12
290,,SH,,,10,,,,15
1869,,KN,,,10,,,,15
1758,,LC,,,11,,,,11
508,,PM,,,10,,,,15
1784,,VC,,,11,,,,11
685,,WS,,,10,,,,15
378,,SM,,,10,,,,15
239,,ST,,,10,,,,15
966,,SA,,,10,,,,15
221,,SN,,,12,,,,12
381,,RS,,,10,,,,15
248,,SC,,,10,,,,15
232,,SL,,,11,,,,11
65,,SG,,,10,,,,10
421,,SK,,,10,,,,15
386,,SI,,,10,,,,15
677,,SB,,,10,,,,15
252,,SO,,,10,,,,15
27,,ZA,,,11,,,,11
500,,GS,,,10,,,,15
211,,SS,,,10,,,,15
34,,ES,,,11,,,,11
94,,LK,,,11,,,,11
249,,SD,,,10,,,,15
597,,SR,,,10,,,,15
4779,,SJ,,,10,,,,15
268,,SZ,,,11,,,,11
46,,SE,,,10,,,,15
41,,CH,,,10,,,,15
963,,SY,,,12,,,,12
886,,TW,,,10,,,,15
992,,TJ,,,10,,,,15
255,,TZ,,,12,,,,12
66,,TH,,,11,,,,11
228,,TG,,,10,,,,15
690,,TK,,,10,,,,15
676,,TO,,,10,,,,15
1868,,TT,,,11,,,,11
216,,TN,,,11,,,,11
90,,TR,,,10,,,,15
993,,TM,,,10,,,,15
1649,,TC,,,10,,,,15
688,,TV,,,10,,,,15
44,,GB,,,12,,,,12
256,,UG,,,12,,,,12
380,,UA,,,12,,,,12
971,,AE,,,10,,,,15
598,,UY,,,10,,,,15
1,,US,,,11,,,,11
998,,UZ,,,10,,,,15
678,,VU,,,10,,,,15
39,,VA,,,10,,,,15
58,,VE,,,10,,,,15
84,,VN,,,11,,,,11
1284,,VG,,,10,,,,15
1340,,VI,,,10,,,,15
681,,WF,,,10,,,,15
967,,YE,,,12,,,,12
260,,ZM,,,12,,,,12
263,,ZW,,,12,,,,12
590,,BL,,,10,,,,15
590,,MF,,,10,,,,15
670,,TL,,,10,,,,15
262,,RE,,,10,,,,15
35818,,AX,,,10,,,,15
5999,,CW,,,10,,,,15
44,,GG,,,10,,,,15
970,,PS,,,10,,,,15
212,,EH,,,10,,,,15
599,,BQ,,,10,,,,15
33,,TF,,,10,,,,15
1721,,SX,,,10,,,,15
1,,AQ,,,10,,,,15
669,,UM,,,10,,,,15
1829,,DO,,,11,,,,11
1849,,DO,,,11,,,,11
77,,KZ,,,10,,,,15
1939,,PR,,,10,,,,15